date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Free Cash Flow,Normalized EBITDA,Gross Profit,Net Income,Basic EPS
2020-09-10,206.89356781187018,208.19272333237512,197.88682033816278,199.1083984375,35461500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-11,200.8825657649218,202.2689734251132,195.1042916671081,197.80921936035156,33620100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-14,198.01287576526028,202.82164067603097,197.80927200387944,199.14720153808594,30375800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-15,202.06540429142433,203.3839393436342,200.62082812302526,202.4144287109375,21823900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-16,204.19830755695105,204.2273916900021,198.40063860305204,198.7981414794922,26328100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-17,193.95060295901243,198.1001072391683,193.86335055345523,196.72340393066406,34011300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-18,196.61672086238997,197.44079586307197,190.2664244999851,194.2801971435547,55225300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-21,191.17781183792096,196.52951489121665,190.3925105603269,196.36468505859375,39839700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-22,198.80784063008002,201.75516112899993,195.9187031935616,201.09588623046875,33517100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-23,201.5612409719034,201.75515492015882,193.93119754317217,194.47412109375,30803800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-24,193.7567109982795,199.3023131478012,193.12652019418556,196.994873046875,31202500,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-25,197.34388913469854,202.66649295646116,196.3646739432265,201.48370361328125,29437300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-28,204.45037295858825,206.08884802234994,201.71634632812194,203.0542755126953,32004900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-29,202.96706922844257,203.66511810996377,200.5045037870875,200.94078063964844,24221900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-09-30,201.3964266338809,205.51684655781258,200.2427066882109,203.9171600341797,33829100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-01,206.9808028878938,207.46555814004194,204.8769668687976,205.98220825195312,27158400,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-02,201.65820845730158,204.55705052955616,199.27320582888143,199.9033966064453,33154800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-05,200.90199530365064,203.99473660143423,200.66930742518113,203.9656524658203,21331600,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-06,202.45323778317535,203.7717581744424,198.57519486233892,199.6319580078125,28554300,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-07,200.74687021541652,203.7038806182327,200.41724014915067,203.4324188232422,25681100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-08,204.09164254744059,204.7509173559212,201.96842705686362,204.15951538085938,19925800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-09,204.7897118722289,209.27855050829655,204.7897118722289,209.23007202148438,26458000,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-12,212.11921966275986,217.03464555196538,210.1995927988753,214.64964294433594,40461400,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-13,215.92939362473538,218.34348025060777,213.7092061526168,216.06512451171875,28950800,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-14,216.20085059838206,217.3836546416425,212.44884953942454,214.1260986328125,23421700,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-15,210.48073252363466,213.6413313837502,209.42395485031204,212.96267700195312,22733100,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
2020-10-16,213.43772767243308,215.51247952167333,212.63304698701683,212.96267700195312,26057900,0.0,0.0,45234000000.0,68395000000.0,96937000000.0,44281000000.0,5.82
